Filenames,Depths,White percents
/Users/Angel/OneDrive/Desktop/IPF/Lung-Fibrosis-Project/MASK_Sk658 Llobe ch010021.jpg,30,0.5698204040527344
/Users/Angel/OneDrive/Desktop/IPF/Lung-Fibrosis-Project/MASK_Sk658 Llobe ch010018.jpg,90,0.8045673370361328
/Users/Angel/OneDrive/Desktop/IPF/Lung-Fibrosis-Project/MASK_Sk658 Llobe ch010121.jpg,9000,3.8411855697631836
/Users/Angel/OneDrive/Desktop/IPF/Lung-Fibrosis-Project/MASK_SK658 Slobe ch010087.jpg,8000,3.6959409713745117
/Users/Angel/OneDrive/Desktop/IPF/Lung-Fibrosis-Project/MASK_SK658 Slobe ch010136.jpg,9200,3.9014339447021484
/Users/Angel/OneDrive/Desktop/IPF/Lung-Fibrosis-Project/MASK_SK658 Slobe ch010156.jpg,330,0.9076118469238281
/Users/Angel/OneDrive/Desktop/IPF/Lung-Fibrosis-Project/MASK_Sk658 Llobe ch010026.jpg,2800,1.7457962036132812
/Users/Angel/OneDrive/Desktop/IPF/Lung-Fibrosis-Project/MASK_SK658 Slobe ch010110.jpg,5300,2.289104461669922
/Users/Angel/OneDrive/Desktop/IPF/Lung-Fibrosis-Project/MASK_SK658 Slobe ch010126.jpg,6800,2.43985652923584
/Users/Angel/OneDrive/Desktop/IPF/Lung-Fibrosis-Project/MASK_SK658 Slobe ch010129.jpg,3250,1.973724365234375
